1.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;-3.212764276972401234e+01;7.225003076019049786e-01;1.985809706605406788e+01
3.000000000000000000e+00;-6.120142176381335730e+00;-2.513053564009943841e-01;2.605330112931230602e+01
4.000000000000000000e+00;-1.606303123570043567e+01;5.513813650192069815e-01;9.956978720710427666e+00
5.000000000000000000e+00;-3.836138257627770543e+01;-2.759258848735086644e-01;4.580625293073688198e+01
6.000000000000000000e+00;-4.818403008357137196e+01;5.093502689634128444e-01;2.966198820739812447e+01
7.000000000000000000e+00;1.986022435682272302e+01;-1.987100916541702844e+00;3.225150144557633780e+01
8.000000000000000000e+00;9.902372032098121224e+00;-8.052790981176549678e-01;1.614652901572970478e+01
9.000000000000000000e+00;-1.235334448557016351e+01;-1.272259077116441262e+00;5.197673494802717187e+01
1.000000000000000000e+01;-2.217737946765440427e+01;-7.959489318099954858e-02;3.588051700146363743e+01
1.100000000000000000e+01;3.752048857822558148e+00;-1.439742892797838181e+00;4.207558517741222204e+01
1.200000000000000000e+01;-2.842291300462533954e+01;-1.424317023306304719e+00;6.193915969207318994e+01
